epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8925,3.14038,3.36583,2.79322,0.11411,0.10089,0.06833,0.03303,2.90493,3.31685,2.65741,2e-05,2e-05,2e-05
2,134.27,3.13251,3.36637,2.76024,0.12989,0.11484,0.078,0.03623,2.86656,3.32416,2.60911,5.406e-05,5.406e-05,5.406e-05
3,181.753,3.06305,3.32161,2.73954,0.15022,0.13282,0.09006,0.03972,2.81711,3.33118,2.54575,8.02e-05,8.02e-05,8.02e-05
4,228.757,2.94471,3.26359,2.60912,0.17133,0.15149,0.10898,0.04372,2.79948,3.32013,2.49094,9.842e-05,9.842e-05,9.842e-05
5,276.875,2.87032,3.14597,2.54165,0.18944,0.1675,0.13522,0.05093,2.82466,3.28366,2.4571,0.00010872,0.00010872,0.00010872
6,324.037,2.91809,3.02512,2.45513,0.209,0.18479,0.16211,0.05791,2.81817,3.23708,2.40521,0.0001111,0.0001111,0.0001111
7,374.831,2.82001,2.90509,2.367,0.23044,0.20375,0.18642,0.06564,2.79829,3.19187,2.34578,0.00010556,0.00010556,0.00010556
8,422.699,2.84675,2.762,2.30139,0.25378,0.22438,0.20748,0.07138,2.79278,3.15248,2.31328,9.21e-05,9.21e-05,9.21e-05
9,471.113,2.80211,2.70983,2.26386,0.26378,0.23323,0.21584,0.07395,2.79458,3.1375,2.3025,7.072e-05,7.072e-05,7.072e-05
10,517.588,2.81262,2.66451,2.24567,0.27444,0.24266,0.22501,0.07649,2.79158,3.12661,2.28807,4.142e-05,4.142e-05,4.142e-05
